epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,1.0364,9.0616,0.0,8679.5511,0.5372,0.5446,0.6238,0.4514,0.6864,0.9082,0.0147,0.4766,0.0263,0.0102,0.037,0.0545,0.5454,0.028,1.0,0.2046,0.4942
2,0.7597,17.8661,0.0,8585.5814,0.4882,0.3896,0.4701,0.3752,0.4052,0.713,0.1348,0.5534,0.0845,0.3328,0.053,0.0547,0.5414,0.0281,0.9859,0.193,0.418
3,0.6093,2.8477,0.0001,8620.9758,0.5828,0.4409,0.5697,0.4796,0.4081,0.8527,0.1076,0.551,0.0907,0.1323,0.944,0.0465,0.631,0.0441,0.0492,0.1984,0.7932
4,0.5264,22.906,0.0001,8495.2049,0.5033,0.5644,0.5749,0.4366,0.7982,0.865,0.0943,0.5715,0.0858,0.1047,0.0303,0.0535,0.4552,0.0275,0.9859,0.2374,0.4662
5,0.509,3.3668,0.0001,8412.5103,0.5749,0.5371,0.61,0.4787,0.6118,0.8247,0.1436,0.5849,0.1069,0.2188,0.9476,0.0837,0.6066,0.0814,0.0861,0.2548,0.7824
6,0.4451,4.0786,0.0001,8431.7089,0.5325,0.5403,0.5802,0.4476,0.6814,0.6863,0.1365,0.5742,0.0837,0.3692,0.954,0.0872,0.6767,0.0972,0.0791,0.2547,0.7243
7,0.3718,11.7411,0.0001,8420.1632,0.6276,0.4188,0.6332,0.5648,0.3328,0.0975,0.1264,0.5776,0.0676,0.9724,0.9705,0.0098,0.6595,0.0732,0.0053,0.185,0.5652
8,0.3425,2.9978,0.0001,8385.7781,0.5867,0.5419,0.6207,0.4898,0.6063,0.8459,0.1348,0.6111,0.1082,0.1788,0.965,0.0,0.5666,0.0,0.0,0.2256,0.7992
9,0.3019,3.6808,0.0001,8393.2231,0.6064,0.5493,0.6432,0.5102,0.5948,0.8492,0.0815,0.5199,0.0689,0.0996,0.9646,0.0295,0.5074,0.0618,0.0193,0.2201,0.8068
10,0.261,10.624,0.0001,8386.596,0.6084,0.5734,0.6473,0.5113,0.6527,0.0967,0.1271,0.5905,0.068,0.9797,0.9632,0.0782,0.5984,0.1285,0.0562,0.2596,0.5561
11,0.243,3.3943,0.0001,8442.3233,0.6172,0.5446,0.647,0.5233,0.5678,0.8843,0.0497,0.5593,0.0554,0.0451,0.9597,0.0506,0.6328,0.0731,0.0387,0.215,0.8204
12,0.2147,4.04,0.0001,8373.1275,0.5897,0.5821,0.6414,0.4938,0.709,0.8901,0.0585,0.588,0.0689,0.0509,0.9519,0.0464,0.6138,0.0516,0.0422,0.229,0.8105
13,0.1982,17.4608,0.0001,8409.5389,0.557,0.5971,0.6599,0.4714,0.8143,0.9,0.0349,0.5743,0.0496,0.0269,0.2336,0.0577,0.5659,0.0299,0.8453,0.2299,0.5636
14,0.1842,4.0431,0.0001,8433.5773,0.5992,0.5837,0.653,0.5021,0.6969,0.8725,0.0651,0.5582,0.0641,0.0661,0.962,0.0127,0.5949,0.0227,0.0088,0.2205,0.8112
15,0.1683,4.529,0.0001,8514.6571,0.5723,0.6023,0.6758,0.4818,0.8032,0.8682,0.0804,0.5488,0.0756,0.0858,0.9608,0.0243,0.5926,0.0392,0.0176,0.2356,0.8004
16,0.1568,4.2626,0.0001,8440.3828,0.6038,0.5761,0.6436,0.5066,0.6678,0.8779,0.0685,0.5466,0.0702,0.0669,0.9526,0.0654,0.619,0.0722,0.0598,0.2367,0.8114
17,0.1432,17.3101,0.0001,8465.6066,0.5976,0.5611,0.6327,0.5008,0.6381,0.8109,0.1003,0.5627,0.0737,0.157,0.3644,0.068,0.6373,0.0354,0.8348,0.2431,0.591
18,0.1328,4.8636,0.0,8429.9169,0.606,0.5937,0.6603,0.5081,0.7141,0.8841,0.0496,0.5389,0.0552,0.0451,0.9665,0.0283,0.5747,0.0725,0.0176,0.2239,0.8188
