epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,1.4073,4.9123,0.0,4342.7503,0.4119,0.5781,0.6769,0.4067,0.9993,0.9328,0.0,0.7835,0.0,0.0,0.0278,0.054,0.7359,0.0278,1.0,0.2107,0.4575
2,0.9968,5.5621,0.0,4328.6722,0.6864,0.6711,0.7881,0.5814,0.7935,0.9036,0.23,0.796,0.2481,0.2144,0.0278,0.054,0.6894,0.0278,1.0,0.3184,0.5393
3,0.7901,0.7279,0.0001,4333.1244,0.7478,0.6057,0.8174,0.8194,0.4805,0.92,0.2032,0.7986,0.3069,0.1519,0.9708,0.0355,0.7846,0.2157,0.0193,0.2815,0.8796
4,0.6751,7.6045,0.0001,4366.0486,0.6327,0.657,0.7661,0.5269,0.8725,0.8943,0.2922,0.7957,0.2654,0.3249,0.0278,0.054,0.5357,0.0278,1.0,0.3344,0.5183
5,0.7414,0.8227,0.0001,4436.6326,0.6911,0.6904,0.8242,0.5792,0.8544,0.9032,0.2536,0.7982,0.2629,0.2449,0.9669,0.1525,0.8082,0.2641,0.1072,0.3655,0.8537
6,0.6958,0.7454,0.0001,4413.783,0.7723,0.717,0.8544,0.7184,0.7157,0.892,0.2325,0.7682,0.2224,0.2435,0.9721,0.0104,0.7853,0.3333,0.0053,0.32,0.8788
7,0.6666,5.1406,0.0001,4390.5274,0.7291,0.5309,0.813,0.8796,0.3802,0.0673,0.1259,0.708,0.0672,1.0,0.9697,0.0252,0.8253,0.1194,0.0141,0.2273,0.5887
8,0.6468,0.7688,0.0001,4429.8801,0.7837,0.7086,0.8503,0.7754,0.6523,0.9174,0.2372,0.7704,0.3124,0.1911,0.9723,0.0374,0.8136,0.55,0.0193,0.3277,0.8911
9,0.6232,0.8396,0.0001,4397.1919,0.7723,0.6957,0.8417,0.7541,0.6458,0.8952,0.1463,0.7295,0.1614,0.1337,0.9722,0.0,0.6878,0.0,0.0,0.2807,0.8799
10,0.5798,3.6389,0.0001,4370.7393,0.7489,0.6218,0.7984,0.7917,0.5119,0.0766,0.127,0.7162,0.0678,1.0,0.9672,0.0233,0.7726,0.0672,0.0141,0.2573,0.5976
11,0.5794,0.9006,0.0001,4428.458,0.7469,0.6062,0.8096,0.8129,0.4834,0.8974,0.2477,0.7783,0.244,0.2515,0.9714,0.0168,0.7425,0.1923,0.0088,0.2902,0.8719
12,0.5732,0.8828,0.0001,4306.5035,0.7565,0.7184,0.8399,0.673,0.7704,0.9062,0.2504,0.7648,0.2702,0.2333,0.9716,0.0202,0.6502,0.25,0.0105,0.3297,0.8781
13,0.5497,5.1303,0.0001,4295.2839,0.6786,0.6598,0.7704,0.5755,0.773,0.8972,0.2599,0.7692,0.2515,0.2689,0.107,0.0584,0.6654,0.0301,0.9965,0.326,0.5609
14,0.5542,0.8309,0.0001,4307.6388,0.7615,0.6822,0.8404,0.737,0.635,0.9069,0.2464,0.7381,0.2699,0.2267,0.9721,0.0138,0.786,0.3636,0.007,0.3142,0.8802
15,0.5405,0.8128,0.0001,4325.1564,0.7984,0.7562,0.8774,0.7377,0.7757,0.8788,0.2135,0.7566,0.1892,0.2449,0.9717,0.0268,0.8052,0.2963,0.0141,0.3322,0.883
16,0.5332,0.7935,0.0001,4327.5371,0.8067,0.7557,0.8787,0.7704,0.7416,0.8982,0.2701,0.7952,0.2605,0.2805,0.9718,0.0525,0.8388,0.4,0.0281,0.3595,0.8922
17,0.4934,7.1714,0.0001,4310.8968,0.6627,0.67,0.7701,0.5532,0.8492,0.8307,0.221,0.7077,0.1599,0.3576,0.0676,0.056,0.6441,0.0288,0.9965,0.3157,0.5204
18,0.5494,0.8581,0.0001,4291.2224,0.7972,0.7109,0.8732,0.8355,0.6187,0.9118,0.2792,0.8114,0.3095,0.2544,0.9723,0.0035,0.8164,1.0,0.0018,0.3312,0.8938
19,0.4887,0.9769,0.0,4319.8828,0.763,0.7357,0.8478,0.6682,0.8183,0.9055,0.2461,0.7801,0.2651,0.2297,0.9718,0.0618,0.8077,0.413,0.0334,0.3479,0.8801
20,0.4921,3.1816,0.0,4321.0687,0.7713,0.6859,0.845,0.7684,0.6194,0.189,0.1393,0.7273,0.075,0.9775,0.9697,0.0343,0.7359,0.1507,0.0193,0.2865,0.6433
21,0.4368,3.3691,0.0,4292.4614,0.786,0.6958,0.8531,0.8152,0.6069,0.1805,0.1383,0.7385,0.0744,0.9797,0.949,0.0594,0.7128,0.0609,0.058,0.2979,0.6385
22,0.509,0.8867,0.0,4354.9681,0.7729,0.7239,0.8509,0.7099,0.7385,0.9041,0.1904,0.7454,0.2198,0.1679,0.972,0.0271,0.8002,0.381,0.0141,0.3138,0.883
23,0.4634,0.8471,0.0,4306.6932,0.7878,0.747,0.8683,0.7192,0.7771,0.899,0.2554,0.758,0.2528,0.258,0.9723,0.0274,0.8019,0.5333,0.0141,0.3433,0.8864
