epoch,train_loss,val_loss,lr,epoch_time_s,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,overall_acc
1,0.5673,4.833,0.0,3980.9293,0.0278,0.054,0.7877,0.0278,1.0,0.0278
2,0.4473,6.7485,0.0,3947.9255,0.0278,0.054,0.7254,0.0278,1.0,0.0278
3,0.3934,0.1479,0.0001,3943.0024,0.9617,0.1347,0.807,0.181,0.1072,0.9617
4,0.3224,8.3836,0.0001,3998.6657,0.0285,0.0541,0.7363,0.0278,1.0,0.0285
5,0.4074,0.1803,0.0001,4038.601,0.9432,0.1403,0.8045,0.121,0.167,0.9432
6,0.3899,0.2026,0.0001,4017.9706,0.942,0.155,0.7632,0.1302,0.1916,0.942
7,0.3689,0.1756,0.0001,3988.8877,0.9632,0.1785,0.7906,0.2343,0.1441,0.9632
8,0.3499,0.1344,0.0001,4046.1584,0.9661,0.2599,0.8584,0.3297,0.2144,0.9661
9,0.3355,0.1747,0.0001,4004.1977,0.9714,0.0785,0.71,0.3676,0.0439,0.9714
10,0.3105,0.1791,0.0001,4012.3472,0.9598,0.1524,0.7813,0.1841,0.1301,0.9598
11,0.3018,0.1704,0.0001,4035.5845,0.965,0.1372,0.664,0.2176,0.1002,0.965
12,0.2928,0.2491,0.0001,4041.387,0.9248,0.1611,0.7249,0.1167,0.2601,0.9248
13,0.2518,5.1243,0.0001,4019.1101,0.1609,0.0617,0.6652,0.0318,0.993,0.1609
14,0.3093,0.1556,0.0001,4046.8469,0.9714,0.067,0.7516,0.3621,0.0369,0.9714
15,0.2544,0.1658,0.0001,4024.5524,0.9636,0.1445,0.7804,0.2079,0.1107,0.9636
16,0.2412,0.1488,0.0001,4047.1573,0.9634,0.1518,0.8342,0.2134,0.1178,0.9634
17,0.2151,4.2281,0.0001,4029.609,0.2846,0.0684,0.6771,0.0355,0.9455,0.2846
18,0.2667,0.2472,0.0001,4028.5207,0.9715,0.0672,0.6578,0.375,0.0369,0.9715
19,0.2437,0.2458,0.0,4120.7726,0.9657,0.1603,0.7547,0.2509,0.1178,0.9657
