epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,1.7478,1.5253,0.0,191.061,0.6942,0.0,0.6335,0.0,0.0,0.854,0.0,0.6051,0.0,0.0,0.7869,0.0,0.7563,0.0,0.0,0.0,0.7783
2,1.5464,1.3069,0.0,199.0803,0.7,0.2141,0.6671,0.5385,0.1337,0.854,0.0,0.6612,0.0,0.0,0.8248,0.4937,0.8167,0.6429,0.4007,0.2359,0.7929
3,1.4493,1.2796,0.0001,195.9558,0.7088,0.4388,0.6902,0.5342,0.3723,0.8547,0.0657,0.7164,0.5385,0.035,0.8022,0.5046,0.8238,0.5412,0.4726,0.3364,0.7886
4,1.3809,1.268,0.0001,197.2234,0.7197,0.5164,0.7568,0.5467,0.4893,0.8445,0.2473,0.7484,0.4217,0.175,0.7985,0.5577,0.8226,0.5241,0.5959,0.4405,0.7876
5,1.3151,1.2322,0.0001,196.5777,0.7401,0.568,0.7954,0.5778,0.5585,0.8409,0.1615,0.7632,0.35,0.105,0.8044,0.5197,0.811,0.5451,0.4966,0.4164,0.7951
6,1.2487,1.2334,0.0001,197.2178,0.7569,0.652,0.8443,0.5799,0.7446,0.8423,0.4098,0.7809,0.4518,0.375,0.7964,0.5766,0.8327,0.5177,0.6507,0.5462,0.7985
7,1.2013,1.1667,0.0001,196.8284,0.792,0.6611,0.8497,0.6588,0.6635,0.8511,0.3544,0.7865,0.4828,0.28,0.8073,0.5525,0.8255,0.547,0.5582,0.5227,0.8168
8,1.1701,1.1496,0.0001,196.3066,0.8102,0.6948,0.8594,0.6836,0.7064,0.8526,0.3399,0.7838,0.4906,0.26,0.8263,0.5657,0.8448,0.6055,0.5308,0.5335,0.8297
9,1.1494,1.1967,0.0001,194.7362,0.8088,0.705,0.8654,0.6674,0.747,0.8474,0.3365,0.8017,0.4609,0.265,0.8036,0.5855,0.832,0.5322,0.6507,0.5423,0.82
10,1.1236,1.1508,0.0001,195.5741,0.8139,0.6886,0.8704,0.705,0.673,0.8555,0.456,0.8125,0.5061,0.415,0.8197,0.5704,0.8372,0.5795,0.5616,0.5717,0.8297
11,1.0981,1.1465,0.0001,196.3417,0.8248,0.6809,0.8806,0.7688,0.611,0.8474,0.3236,0.8034,0.4587,0.25,0.8175,0.4877,0.8179,0.6071,0.4075,0.4974,0.8299
12,1.0857,1.1958,0.0001,196.2577,0.8109,0.6542,0.8844,0.7424,0.5847,0.838,0.4505,0.7959,0.4461,0.455,0.808,0.5066,0.8314,0.5602,0.4623,0.5371,0.819
13,1.0639,1.1381,0.0001,196.2919,0.8088,0.67,0.879,0.7093,0.6348,0.8526,0.3765,0.7891,0.4919,0.305,0.8066,0.5359,0.8358,0.5484,0.524,0.5275,0.8226
14,1.0562,1.1515,0.0001,195.6902,0.8146,0.6887,0.8826,0.7078,0.6706,0.8489,0.4266,0.8047,0.4783,0.385,0.8182,0.5787,0.8422,0.5719,0.5856,0.5647,0.8273
15,1.0442,1.1463,0.0001,196.6167,0.8248,0.7059,0.8869,0.7254,0.6874,0.8387,0.381,0.7867,0.4331,0.34,0.8153,0.569,0.8449,0.5661,0.5719,0.5519,0.8263
